# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)p_prime_scf        17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       9.999999990000e+08       7.558490865258e-16       4.634887663997e-04       2.157549590936e+12       1.415317272527e+04       1.415317272527e-05       1.415317272527e+13       2.675953644890e-04       2.751560535470e+24       2.432846967141e+18       1.329276134279e+19       1.903443976270e+24       4.655020237348e+24       3.947739824030e-08      -3.947739824030e-08       0.000000000000e+00       1.000000000000e-04       0.000000000000e+00       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       4.655020237348e+24       1.551668170580e+24      -1.339120410681e+28       1.156640520742e-14       2.000000000000e+09 
       9.930486583435e+08       7.664680103425e-16       4.667331886594e-04       2.127658146962e+12       1.415317272203e+04       1.425224493167e-05       1.405478919707e+13       2.694685314172e-04       2.675846457658e+24       2.382464179649e+18       1.301747630474e+19       1.851067332736e+24       4.526929190335e+24       3.947739824030e-08      -3.947739824030e-08       1.732222902841e-38       1.000000000000e-04       1.810024831077e-31       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       4.526929190335e+24       1.508971263465e+24      -1.293219610957e+28       1.613655616627e-07       1.433565495997e+02 
       9.861456388236e+08       7.772361192935e-16       4.700003210019e-04       2.098180829643e+12       1.415317271876e+04       1.435201064347e-05       1.395708956628e+13       2.713548104872e-04       2.602215787243e+24       2.333124789174e+18       1.274789225312e+19       1.800131925623e+24       4.402362793883e+24       3.947739824030e-08      -3.947739824030e-08       3.442190685251e-38       1.000000000000e-04       3.633250120531e-31       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       4.402362793883e+24       1.467449237622e+24      -1.248892145142e+28       3.227311098911e-07       7.167827695696e+01 
       9.792906045437e+08       7.881555092781e-16       4.732903234981e-04       2.069111901521e+12       1.415317271547e+04       1.445247471522e-05       1.386006907890e+13       2.732542934838e-04       2.530611195568e+24       2.284807187598e+18       1.248389112396e+19       1.750598096750e+24       4.281224061016e+24       3.947739824030e-08      -3.947739824030e-08       5.131911193865e-38       1.000000000000e-04       5.470302444800e-31       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       4.281224061016e+24       1.427069764106e+24      -1.206084084335e+28       4.840966562790e-07       4.778551827308e+01 
       9.724832219420e+08       7.992283056407e-16       4.766033544001e-04       2.040445704625e+12       1.415317271216e+04       1.455364203543e-05       1.376372301397e+13       2.751670728339e-04       2.460976931475e+24       2.237490214289e+18       1.222535729830e+19       1.702427279200e+24       4.163418673522e+24       3.947739824030e-08      -3.947739824030e-08       6.803321162764e-38       1.000000000000e-04       7.321816817425e-31       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       4.163418673522e+24       1.387801403558e+24      -1.164743348146e+28       6.454622008540e-07       3.583913872123e+01 
       9.657231597755e+08       8.104566635848e-16       4.799395792361e-04       2.012176659373e+12       1.415317270882e+04       1.465551752684e-05       1.366804668337e+13       2.770932416118e-04       2.393258777899e+24       2.191153146844e+18       1.197217755161e+19       1.655581967296e+24       4.048854908526e+24       3.947739824030e-08      -3.947739824030e-08       8.458290059185e-38       1.000000000000e-04       9.188436934157e-31       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       4.048854908526e+24       1.349613581732e+24      -1.124819641336e+28       8.068277436445e-07       2.867131092501e+01 
       9.590100891037e+08       8.218427685922e-16       4.832991544390e-04       1.984299263485e+12       1.415317270546e+04       1.475810614665e-05       1.357303543152e+13       2.790328935429e-04       2.327404009656e+24       2.145775692004e+18       1.172424100415e+19       1.610025687395e+24       3.937443567068e+24       3.947739824030e-08      -3.947739824030e-08       1.009862375648e-37       1.000000000000e-04       1.107081542232e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.937443567068e+24       1.312476565684e+24      -1.086264392628e+28       9.681932846790e-07       2.389275903520e+01 
       9.523436832727e+08       8.333888368484e-16       4.866822491749e-04       1.956808090910e+12       1.415317270208e+04       1.486141288676e-05       1.347868463525e+13       2.809861230091e-04       2.263361352387e+24       2.101337976775e+18       1.148143907245e+19       1.565722969489e+24       3.829097904653e+24       3.947739824030e-08      -3.947739824030e-08       1.172606804280e-37       1.000000000000e-04       1.296961409456e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.829097904653e+24       1.276361440625e+24      -1.049030695614e+28       1.129558823987e-06       2.047950767387e+01 
       9.457236178993e+08       8.450971156743e-16       4.900890253339e-04       1.929697790774e+12       1.415317269867e+04       1.496544277402e-05       1.338498970350e+13       2.829530250525e-04       2.201080942637e+24       2.057820539717e+18       1.124366542171e+19       1.522639319593e+24       3.723733563716e+24       3.947739824030e-08      -3.947739824030e-08       1.334231197348e-37       1.000000000000e-04       1.488550420699e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.723733563716e+24       1.241240087410e+24      -1.013073251690e+28       1.290924361598e-06       1.791956914747e+01 
       9.391495708552e+08       8.569698839629e-16       4.935196466249e-04       1.902963086332e+12       1.415317269524e+04       1.507020087044e-05       1.329194607713e+13       2.849336953809e-04       2.140514289036e+24       2.015204322427e+18       1.101081591929e+19       1.480741192884e+24       3.621268507941e+24       3.947739824030e-08      -3.947739824030e-08       1.494899107488e-37       1.000000000000e-04       1.681916672204e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.621268507941e+24       1.207085160640e+24      -9.783483149416e+27       1.452289897542e-06       1.592850584666e+01 
       9.326212222514e+08       8.690094526238e-16       4.969742840331e-04       1.876598773948e+12       1.415317269179e+04       1.517569227349e-05       1.319954922870e+13       2.869282303718e-04       2.081614234537e+24       1.973470661190e+18       1.078278858905e+19       1.439995967587e+24       3.521622958382e+24       3.947739824030e-08      -3.947739824030e-08       1.654769040695e-37       1.000000000000e-04       1.877129257584e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.521622958382e+24       1.173870067374e+24      -9.448136389300e+27       1.613655431850e-06       1.433565520502e+01 
       9.261382544223e+08       8.812181650322e-16       5.004531049053e-04       1.850599722078e+12       1.415317268831e+04       1.528192211632e-05       1.310779466224e+13       2.889367270775e-04       2.024334919704e+24       1.932601278804e+18       1.055948356674e+19       1.400371919568e+24       3.424719331356e+24       3.947739824030e-08      -3.947739824030e-08       1.813994749143e-37       1.000000000000e-04       2.074258295049e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.424719331356e+24       1.141568946424e+24      -9.124284252881e+27       1.775020964553e-06       1.303241377079e+01 
       9.197003519108e+08       8.935983974853e-16       5.039562747697e-04       1.824960870274e+12       1.415317268480e+04       1.538889556801e-05       1.301667791302e+13       2.909592832296e-04       1.968631747005e+24       1.892578276577e+18       1.034080305621e+19       1.361838197643e+24       3.330482178030e+24       3.947739824030e-08      -3.947739824030e-08       1.972725511238e-37       1.000000000000e-04       2.273374955124e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.330482178030e+24       1.110156648216e+24      -8.811532740882e+27       1.936386495683e-06       1.194637924257e+01 
       9.133072014526e+08       9.061525596650e-16       5.074839682493e-04       1.799677228193e+12       1.415317268128e+04       1.549661783381e-05       1.292619454737e+13       2.929959972436e-04       1.914461346089e+24       1.853384126490e+18       1.012665128662e+19       1.324364799553e+24       3.238838125678e+24       3.947739824030e-08      -3.947739824030e-08       2.131106399540e-37       1.000000000000e-04       2.474551488864e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.238838125678e+24       1.079608715214e+24      -8.509501359072e+27       2.097752025272e-06       1.102742695006e+01 
       9.069584919608e+08       9.188830951067e-16       5.110363563290e-04       1.774743874635e+12       1.415317267772e+04       1.560509415544e-05       1.283634016240e+13       2.950469682243e-04       1.861781540017e+24       1.815001663516e+18       9.916934470500e+18       1.287922548603e+24       3.149715820556e+24       3.947739824030e-08      -3.947739824030e-08       2.289278537149e-37       1.000000000000e-04       2.677861256585e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.149715820556e+24       1.049901362873e+24      -8.217822655358e+27       2.259117553352e-06       1.023975355724e+01 
       9.006539145111e+08       9.317924816748e-16       5.146136099938e-04       1.750155956577e+12       1.415317267415e+04       1.571432981126e-05       1.274711038588e+13       2.971122959700e-04       1.810551312423e+24       1.777414078106e+18       9.711560762639e+18       1.252483070946e+24       3.063045872343e+24       3.947739824030e-08      -3.947739824030e-08       2.447379343128e-37       1.000000000000e-04       2.883378757128e-30       1.184321947209e-07      -1.450439088747e-07       1.776352751988e-07       3.063045872343e+24       1.021011461123e+24      -7.936141772742e+27       2.420483079958e-06       9.557103284312e+00 
