# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.593497206147e-10       7.321431276829e-15       4.739232382482e-13       0.000000000000e+00 
    3       1.496572229639e-10       1.236610838410e-14       5.982129909589e-13       0.000000000000e+00 
    4       1.398206762649e-10       1.436602927740e-14       6.200892570984e-13       0.000000000000e+00 
    5       1.319416405574e-10       1.320189548073e-14       5.813771991254e-13       0.000000000000e+00 
    6       1.260500110394e-10       1.011257807564e-14       5.117616985727e-13       0.000000000000e+00 
    7       1.218121251554e-10       6.651010298937e-15       4.317219264456e-13       0.000000000000e+00 
    8       1.188712162847e-10       3.908027909973e-15       3.537243575856e-13       0.000000000000e+00 
    9       1.169572834580e-10       2.264635689256e-15       2.850823338833e-13       0.000000000000e+00 
   10       1.158703389515e-10       1.544949785749e-15       2.296966482762e-13       0.000000000000e+00 
   11       1.153558543644e-10       1.338354358124e-15       1.891905758446e-13       0.000000000000e+00 
   12       1.152998835372e-10       1.280431801024e-15       1.634032881379e-13       0.000000000000e+00 
   13       1.156454465794e-10       1.185745264089e-15       1.505909188869e-13       0.000000000000e+00 
   14       1.163029173352e-10       1.036354320803e-15       1.479820792547e-13       0.000000000000e+00 
   15       1.171595640831e-10       8.953760034261e-16       1.525259731657e-13       0.000000000000e+00 
   16       1.182123446248e-10       8.213760708855e-16       1.613041704436e-13       0.000000000000e+00 
   17       1.194619614025e-10       8.269515970219e-16       1.717274781789e-13       0.000000000000e+00 
   18       1.208111819930e-10       8.815519259999e-16       1.820182365936e-13       0.000000000000e+00 
   19       1.222737735557e-10       9.531297886738e-16       1.913084843248e-13       0.000000000000e+00 
   20       1.238454803528e-10       1.010491792261e-15       1.989471368332e-13       0.000000000000e+00 
   21       1.255102343687e-10       1.059160715526e-15       2.049846641008e-13       0.000000000000e+00 
   22       1.272183711160e-10       1.119712123978e-15       2.098188546035e-13       0.000000000000e+00 
   23       1.289867953718e-10       1.210666281814e-15       2.139799791865e-13       0.000000000000e+00 
   24       1.308291325672e-10       1.348429270849e-15       2.180948427919e-13       0.000000000000e+00 
   25       1.327382242341e-10       1.531990639888e-15       2.225840564470e-13       0.000000000000e+00 
   26       1.346849588187e-10       1.753321427009e-15       2.277657957197e-13       0.000000000000e+00 
   27       1.366656853794e-10       2.006555232566e-15       2.336548433488e-13       0.000000000000e+00 
   28       1.386751321419e-10       2.286292768843e-15       2.400934054319e-13       0.000000000000e+00 
   29       1.407224855482e-10       2.592134200718e-15       2.467554749062e-13       0.000000000000e+00 
   30       1.428093331093e-10       2.925099505399e-15       2.531624456000e-13       0.000000000000e+00 
   31       1.449267534709e-10       3.285599355219e-15       2.587585931044e-13       0.000000000000e+00 
