#scalar perturbations for mode k = 1.000000000000e-07 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       8.714456551830e+01       2.178741606534e-04      -2.210686722797e-11      -1.434289012905e-24       1.066043941541e-14       2.665109853852e-14       6.151030280961e-23       5.330219707703e-15      -1.658015042098e-11      -1.434279354633e-24       5.872965945038e-01       6.584378195023e-01      -2.210686722797e-11      -2.524848070097e-24       2.941405762914e-12      -1.658015042098e-11      -2.375609185806e-51      -1.888542460151e-25      -1.515701851340e-28 
       8.738367639922e+01       2.185541170708e-04      -2.222810315511e-11      -1.445338978796e-24       1.075071876397e-14       2.687679690993e-14       6.241899755766e-23       5.375359381986e-15      -1.667107736633e-11      -1.445319501051e-24       5.874118376115e-01       6.585140710571e-01      -2.222810315511e-11      -2.545188438042e-24       2.958128206775e-12      -1.667107736633e-11      -7.592037278609e-51      -3.767530037487e-25      -4.749003725883e-28 
       8.762278728014e+01       2.192345230363e-04      -2.234959280484e-11      -1.456443242623e-24       1.084156350192e-14       2.710390875480e-14       6.333898656957e-23       5.420781750961e-15      -1.676219460363e-11      -1.456413779271e-24       5.875259324737e-01       6.585889007445e-01      -2.234959280484e-11      -2.565641033493e-24       2.974887822764e-12      -1.676219460363e-11      -1.582074730766e-50      -5.636660074054e-25      -9.700360177898e-28 
       8.865862811444e+01       2.221872692377e-04      -2.287863109977e-11      -1.505134204431e-24       1.124198685613e-14       2.810496714031e-14       6.745943826660e-23       5.620993428063e-15      -1.715897332483e-11      -1.505059642847e-24       5.879989657296e-01       6.588881870015e-01      -2.287863109977e-11      -2.655459068925e-24       3.047894031584e-12      -1.715897332483e-11      -8.774582531734e-50      -1.363824895956e-24      -4.882647730555e-27 
       8.969446894874e+01       2.251484519625e-04      -2.341235554282e-11      -1.554830876654e-24       1.165337718279e-14       2.913344295697e-14       7.180439685363e-23       5.826688591394e-15      -1.755926665711e-11      -1.554708000979e-24       5.884485899337e-01       6.591592818168e-01      -2.341235554281e-11      -2.747366947716e-24       3.121590168281e-12      -1.755926665712e-11      -2.272777887731e-49      -2.147212927501e-24      -1.161924388438e-26 
       9.073030978303e+01       2.281180712107e-04      -2.395084601155e-11      -1.605553765792e-24       1.207580064581e-14       3.018950161453e-14       7.638298409435e-23       6.037900322907e-15      -1.796313450866e-11      -1.605379181239e-24       5.888790635571e-01       6.594071245373e-01      -2.395084601154e-11      -2.841416200524e-24       3.195989806229e-12      -1.796313450867e-11      -4.461902131396e-49      -2.914061182510e-24      -2.097724832642e-26 
       9.176615061733e+01       2.310961269822e-04      -2.449413249140e-11      -1.657313322075e-24       1.250939504110e-14       3.127348760275e-14       8.120503283125e-23       6.254697520549e-15      -1.837059936855e-11      -1.657083476965e-24       5.892923865015e-01       6.596341808790e-01      -2.449413249139e-11      -2.937638100587e-24       3.271099013066e-12      -1.837059936856e-11      -7.572811896970e-49      -3.664944818187e-24      -3.274800153631e-26 
       9.451649198941e+01       2.390443327783e-04      -2.595997368013e-11      -1.799829301420e-24       1.371610620537e-14       3.429026551342e-14       9.526843868546e-23       6.858053102684e-15      -1.946998026010e-11      -1.799433981976e-24       5.903154960596e-01       6.601477375118e-01      -2.595997368012e-11      -3.203880810362e-24       3.473992311171e-12      -1.946998026011e-11      -2.180013033314e-48      -5.585870824859e-24      -7.443818362668e-26 
       9.726683336149e+01       2.470520157945e-04      -2.745968568792e-11      -1.949785157532e-24       1.500616585048e-14       3.751541462620e-14       1.113288826433e-22       7.503082925240e-15      -2.059476426594e-11      -1.949195335312e-24       5.912383546457e-01       6.605433447876e-01      -2.745968568790e-11      -3.485975695409e-24       3.681935218390e-12      -2.059476426595e-11      -4.678594938556e-48      -7.410590595987e-24      -1.286052537944e-25 
       1.000171747336e+02       2.551191760309e-04      -2.899325032079e-11      -2.107264165114e-24       1.638303499046e-14       4.095758747615e-14       1.296110027426e-22       8.191517495231e-15      -2.174493774059e-11      -2.106447865944e-24       5.920725114768e-01       6.608370427619e-01      -2.899325032077e-11      -3.784285587412e-24       3.894953871728e-12      -2.174493774062e-11      -8.641684550709e-48      -9.150618650488e-24      -1.927451783145e-25 
       1.027675161056e+02       2.632458134874e-04      -3.056062196175e-11      -2.272348776920e-24       1.785021896018e-14       4.462554740044e-14       1.503584356654e-22       8.925109480088e-15      -2.292046647131e-11      -2.271270817101e-24       5.928282153771e-01       6.610427465498e-01      -3.056062196172e-11      -4.099183365826e-24       4.113071635359e-12      -2.292046647134e-11      -1.456685640139e-47      -1.081657818671e-23      -2.650176475973e-25 
       1.091646244129e+02       2.823778781834e-04      -3.433654355055e-11      -2.686157287700e-24       2.163224377043e-14       5.408060942608e-14       2.096641702747e-22       1.081612188522e-14      -2.575240766291e-11      -2.684315494791e-24       5.943277190526e-01       6.612416383808e-01      -3.433654355050e-11      -4.897785691701e-24       4.640222568576e-12      -2.575240766296e-11      -3.986423633052e-47      -1.445239444750e-23      -4.572534377115e-25 
       1.155617327202e+02       3.018317123723e-04      -3.829376327052e-11      -3.142450502718e-24       2.596849724319e-14       6.492124310797e-14       2.875672226602e-22       1.298424862159e-14      -2.872032245289e-11      -3.139588690175e-24       5.955373197937e-01       6.611414614336e-01      -3.829376327045e-11      -5.792779411024e-24       5.195256699098e-12      -2.872032245295e-11      -9.085057554841e-47      -1.784499133515e-23      -6.746112578628e-25 
       1.219588410274e+02       3.216073160539e-04      -4.243074063138e-11      -3.642074667961e-24       3.090713071581e-14       7.726782678952e-14       3.885821249603e-22       1.545356535790e-14      -3.182305547353e-11      -3.637882387684e-24       5.965232102907e-01       6.608255150782e-01      -4.243074063128e-11      -6.788880918691e-24       5.778303519074e-12      -3.182305547362e-11      -1.853294760014e-46      -2.108450221711e-23      -9.110213990501e-25 
       1.283559493347e+02       3.417046892284e-04      -4.674569566845e-11      -4.185771861466e-24       3.650158536728e-14       9.125396341820e-14       5.181517434661e-22       1.825079268364e-14      -3.505927175134e-11      -4.179875828824e-24       5.973335571132e-01       6.603526478616e-01      -4.674569566833e-11      -7.890767640151e-24       6.389439970042e-12      -3.505927175145e-11      -3.505859069815e-46      -2.423847346265e-23      -1.163774036570e-24 
       1.347530576420e+02       3.621238318958e-04      -5.123671718930e-11      -4.774187821352e-24       4.283716476584e-14       1.070929119146e-13       6.837719755162e-22       2.141858238292e-14      -3.842753789197e-11      -4.766134248653e-24       5.980038090059e-01       6.597652934404e-01      -5.123671718914e-11      -9.103072045754e-24       7.028699952626e-12      -3.842753789211e-11      -6.279385876168e-46      -2.736009353175e-23      -1.431781087675e-24 
