# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.485884101040e-07       8.460684054166e-01 
       1.056470626398e-05       5.113510094697e+01 
       2.346164194085e-05       1.101559517601e+02 
       3.640431706386e-05       1.680795151391e+02 
       4.942764248486e-05       2.255510814064e+02 
       6.256711031075e-05       2.829343583408e+02 
       7.585911115981e-05       3.404993227605e+02 
       8.934126161858e-05       3.984750403043e+02 
       1.030527462634e-04       4.570712002481e+02 
       1.170346786436e-04       5.164891009307e+02 
       1.313304856580e-04       5.769282264597e+02 
       1.459863197602e-04       6.385907489347e+02 
       1.485884101040e-04       6.495089562050e+02 
       1.610515033674e-04       7.016849887791e+02 
       1.765790096639e-04       7.664283783512e+02 
       1.926259836113e-04       8.330495356089e+02 
       2.092543063052e-04       9.017917477987e+02 
       2.265312047190e-04       9.729142789521e+02 
       2.445299071744e-04       1.046695186152e+03 
       2.633303423572e-04       1.123433513117e+03 
       2.830198760744e-04       1.203451502980e+03 
       3.036940748928e-04       1.287096709421e+03 
       3.254574789195e-04       1.374743906553e+03 
       3.484243568818e-04       1.466796675100e+03 
       3.727194049494e-04       1.563688495791e+03 
       3.984783361656e-04       1.665883126193e+03 
       4.258482899582e-04       1.773873992185e+03 
       4.549879715390e-04       1.888182243124e+03 
       4.860674104831e-04       2.009353136194e+03 
       5.192672090452e-04       2.137950325216e+03 
       5.547771380410e-04       2.274547676184e+03 
       5.927939374076e-04       2.419718347916e+03 
       6.335181973787e-04       2.574020979042e+03 
       6.771502426042e-04       2.737983080887e+03 
       7.238850218712e-04       2.912082165874e+03 
       7.739061218604e-04       3.096725436086e+03 
       8.273791673343e-04       3.292229133959e+03 
       8.844450233444e-04       3.498799835018e+03 
       9.452133467501e-04       3.716518123029e+03 
       1.009757107181e-03       3.945327604559e+03 
       1.078108678057e-03       4.185029251307e+03 
       1.150257970235e-03       4.435282904667e+03 
       1.226152855935e-03       4.695614687555e+03 
       1.305701849943e-03       4.965427927660e+03 
       1.388778738337e-03       5.244011294562e+03 
       1.475228631613e-03       5.530566894109e+03 
       1.564874808506e-03       5.824274446575e+03 
       1.657525718141e-03       6.124251179788e+03 
       1.752981601774e-03       6.429599087401e+03 
       1.851040344241e-03       6.739424713842e+03 
       1.951502329638e-03       7.052858502791e+03 
       2.054174224054e-03       7.369068518166e+03 
       2.158871722256e-03       7.687272356976e+03 
       2.265421369537e-03       8.006743083720e+03 
       2.373661608189e-03       8.326813639047e+03 
       2.483443208363e-03       8.646877023571e+03 
       2.594629234771e-03       8.966385612278e+03 
       2.707094681937e-03       9.284848554950e+03 
       2.820725887674e-03       9.601829835705e+03 
       2.935419811245e-03       9.916941838336e+03 
       3.051083241567e-03       1.022984432931e+04 
       3.167631982939e-03       1.054023852336e+04 
       3.284990051310e-03       1.084786480904e+04 
       3.403088902916e-03       1.115249501006e+04 
       3.521866708684e-03       1.145393472406e+04 
       3.641267681674e-03       1.175201324863e+04 
       3.761241460541e-03       1.204658661627e+04 
       3.881742549020e-03       1.233752960437e+04 
       4.002729809554e-03       1.262473872023e+04 
       4.124166008009e-03       1.290812644630e+04 
       4.246017405761e-03       1.318761619125e+04 
       4.368253395187e-03       1.346315071218e+04 
       4.490846174530e-03       1.373468068674e+04 
