# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 36.0195 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.485884101040e-07       8.460684079785e-01 
       1.056470626398e-05       5.113511138957e+01 
       2.346164194085e-05       1.101560002506e+02 
       3.640431706386e-05       1.680796268144e+02 
       4.942764248486e-05       2.255512793877e+02 
       6.256711031075e-05       2.829346641257e+02 
       7.585911115981e-05       3.404997564632e+02 
       8.934126161858e-05       3.984756208086e+02 
       1.030527462634e-04       4.570719452931e+02 
       1.170346786436e-04       5.164900271352e+02 
       1.313304856580e-04       5.769293492838e+02 
       1.459863197602e-04       6.385920825725e+02 
       1.485884101040e-04       6.495103280411e+02 
       1.610515033674e-04       7.016865459716e+02 
       1.765790096639e-04       7.664301701038e+02 
       1.926259836113e-04       8.330515707917e+02 
       2.092543063052e-04       9.017940326003e+02 
       2.265312047190e-04       9.729168161512e+02 
       2.445299071744e-04       1.046697974156e+03 
       2.633303423572e-04       1.123436544705e+03 
       2.830198760744e-04       1.203454763668e+03 
       3.036940748928e-04       1.287100175349e+03 
       3.254574789195e-04       1.374747541754e+03 
       3.484243568818e-04       1.466800427991e+03 
       3.727194049494e-04       1.563692294659e+03 
       3.984783361656e-04       1.665886873429e+03 
       4.258482899582e-04       1.773877556911e+03 
       4.549879715390e-04       1.888185451832e+03 
       4.860674104831e-04       2.009355760892e+03 
       5.192672090452e-04       2.137952068517e+03 
       5.547771380410e-04       2.274548152679e+03 
       5.927939374076e-04       2.419717061109e+03 
       6.335181973787e-04       2.574017293084e+03 
       6.771502426042e-04       2.737976186359e+03 
       7.238850218712e-04       2.912071038977e+03 
       7.739061218604e-04       3.096708790760e+03 
       8.273791673343e-04       3.292205366797e+03 
       8.844450233444e-04       3.498766963220e+03 
       9.452133467501e-04       3.716473716197e+03 
       1.009757107181e-03       3.945268711668e+03 
       1.078108678057e-03       4.184952324735e+03 
       1.150257970235e-03       4.435183723586e+03 
       1.226152855935e-03       4.695488283229e+03 
       1.305701849943e-03       4.965268513370e+03 
       1.388778738337e-03       5.243812203063e+03 
       1.475228631613e-03       5.530320523820e+03 
       1.564874808506e-03       5.823972214751e+03 
       1.657525718141e-03       6.123883490568e+03 
       1.752981601774e-03       6.429155309340e+03 
       1.851040344241e-03       6.738893167931e+03 
       1.951502329638e-03       7.052226459840e+03 
       2.054174224054e-03       7.368322204601e+03 
       2.158871722256e-03       7.686396967583e+03 
       2.265421369537e-03       8.005722800398e+03 
       2.373661608189e-03       8.325631654241e+03 
       2.483443208363e-03       8.645515567639e+03 
       2.594629234771e-03       8.964825983772e+03 
       2.707094681937e-03       9.283071153210e+03 
       2.820725887674e-03       9.599814194747e+03 
       2.935419811245e-03       9.914666662548e+03 
       3.051083241567e-03       1.022728752912e+04 
       3.167631982939e-03       1.053737725180e+04 
       3.284990051310e-03       1.084467549792e+04 
       3.403088902916e-03       1.114895340748e+04 
       3.521866708684e-03       1.145001592964e+04 
       3.641267681674e-03       1.174769175109e+04 
       3.761241460541e-03       1.204183632820e+04 
       3.881742549020e-03       1.233232389895e+04 
       4.002729809554e-03       1.261905046488e+04 
       4.124166008009e-03       1.290192803753e+04 
       4.246017405761e-03       1.318087959089e+04 
       4.368253395187e-03       1.345584747730e+04 
       4.490846174530e-03       1.372678200458e+04 
       4.613770458245e-03       1.399364570264e+04 
       4.737003219153e-03       1.425640854319e+04 
       4.860523458977e-03       1.451503185646e+04 
       4.984312004148e-03       1.476952743548e+04 
       5.108351324050e-03       1.501990082365e+04 
       5.232625369170e-03       1.526612663223e+04 
       5.357119426869e-03       1.550821173829e+04 
       5.481819992775e-03       1.574615835812e+04 
       5.606714655986e-03       1.598004673520e+04 
       5.731791996509e-03       1.620979850584e+04 
       5.857041493533e-03       1.643547809871e+04 
       5.982453443300e-03       1.665710054691e+04 
       6.108018885485e-03       1.687469068365e+04 
       6.233729537119e-03       1.708826944277e+04 
       6.359577733229e-03       1.729787448732e+04 
       6.485556373419e-03       1.750353322526e+04 
       6.611658873761e-03       1.770526638254e+04 
       6.737879123408e-03       1.790312471480e+04 
       6.864211445411e-03       1.809712383603e+04 
       6.990650561296e-03       1.828730453579e+04 
       7.117191558997e-03       1.847368584202e+04 
       7.243829863798e-03       1.865633337578e+04 
       7.370561211962e-03       1.883525700634e+04 
       7.497381626774e-03       1.901050317399e+04 
       7.624287396752e-03       1.918210544611e+04 
       7.751275055812e-03       1.935009533793e+04 
       7.878341365178e-03       1.951450737166e+04 
       8.005483296882e-03       1.967539889806e+04 
       8.132698018682e-03       1.983278984740e+04 
       8.259982880275e-03       1.998672833633e+04 
       8.387335400677e-03       2.013722935718e+04 
       8.514753256646e-03       2.028436351236e+04 
       8.642234272080e-03       2.042813533849e+04 
       8.769776408269e-03       2.056859125194e+04 
       8.897377754940e-03       2.070576739403e+04 
       9.025036522023e-03       2.083970955894e+04 
       9.152751032066e-03       2.097043551262e+04 
       9.280519713250e-03       2.109801322890e+04 
       9.408341092942e-03       2.122244835531e+04 
       9.536213791750e-03       2.134378064241e+04 
       9.664136518030e-03       2.146204156351e+04 
       9.792108062807e-03       2.157728407890e+04 
       9.920127295083e-03       2.168953237429e+04 
       1.004819315749e-02       2.179880398555e+04 
       1.017630466225e-02       2.190516653710e+04 
       1.030446088749e-02       2.200862724999e+04 
       1.043266097370e-02       2.210923356616e+04 
