# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:d_tot                  8:phi                    9:psi                
       1.485884101040e-07      -2.616385419537e-07      -1.962289265700e-07      -1.962289265282e-07      -2.616385411510e-07       3.329234166644e-09      -5.896657539074e-08       4.842650946776e-01       4.841226903756e-01 
       1.056470626398e-05      -1.321968003865e-03      -9.919896730419e-04      -9.919886038461e-04      -1.321947499831e-03       1.682965964724e-05      -2.980918036121e-04       4.842618994381e-01       4.841196042583e-01 
       2.346164194085e-05      -6.506309471947e-03      -4.892213914037e-03      -4.892187915094e-03      -6.505811607890e-03       8.298829594229e-05      -1.470105645890e-03       4.842473110776e-01       4.841054426129e-01 
       3.640431706386e-05      -1.560828373861e-02      -1.177844493577e-02      -1.177829429174e-02      -1.560540633738e-02       1.997553630609e-04      -3.539414992189e-03       4.842215944149e-01       4.840804770575e-01 
       4.942764248486e-05      -2.862368165240e-02      -2.171264098547e-02      -2.171212935884e-02      -2.861394509550e-02       3.681104469067e-04      -6.524643325829e-03       4.841845037957e-01       4.840444648547e-01 
       6.256711031075e-05      -4.555085105735e-02      -3.478987007261e-02      -3.478855753360e-02      -4.552599344431e-02       5.895587151215e-04      -1.045436689888e-02       4.841357962694e-01       4.839971676658e-01 
       7.585911115981e-05      -6.638802634004e-02      -5.114001034140e-02      -5.113717687428e-02      -6.633468811016e-02       8.661550128866e-04      -1.536762598922e-02       4.840749810708e-01       4.839381011074e-01 
       8.934126161858e-05      -9.112969750058e-02      -7.093016627435e-02      -7.092472166123e-02      -9.102795597622e-02       1.200537632174e-03      -2.131465170443e-02       4.840015400120e-01       4.838667548660e-01 
       1.030527462634e-04      -1.197618355312e-01      -9.436785483148e-02      -9.435823049172e-02      -1.195835477686e-01       1.595971482024e-03      -2.835782530091e-02       4.839147968749e-01       4.837824621803e-01 
       1.170346786436e-04      -1.522557546148e-01      -1.217050530315e-01      -1.216890698640e-01      -1.519626729664e-01       2.056404395902e-03      -3.657289557863e-02       4.838139709517e-01       4.836844531109e-01 
       1.313304856580e-04      -1.885603554004e-01      -1.532432149984e-01      -1.532179204833e-01      -1.881019619966e-01       2.586530900568e-03      -4.605049173094e-02       4.836980687430e-01       4.835717460831e-01 
       1.459863197602e-04      -2.285924040063e-01      -1.893393978884e-01      -1.893008632307e-01      -2.279034398517e-01       3.191878122758e-03      -5.689796437475e-02       4.835659795767e-01       4.834432432010e-01 
       1.485884101040e-04      -2.359631097183e-01      -1.961463533329e-01      -1.961050141769e-01      -2.352258885956e-01       3.305866741613e-03      -5.894357876186e-02       4.835411441087e-01       4.834190756685e-01 
       1.610515033674e-04      -2.722245026018e-01      -2.304136684519e-01      -2.303567347247e-01      -2.712221560540e-01       3.878897948019e-03      -6.924161876978e-02       4.834164193647e-01       4.832976736166e-01 
       1.765790096639e-04      -3.192703405965e-01      -2.769579870497e-01      -2.768759687533e-01      -3.178510804596e-01       4.655079003474e-03      -8.322939740405e-02       4.832478959231e-01       4.831335583335e-01 
       1.926259836113e-04      -3.694668672701e-01      -3.295468270880e-01      -3.294310189939e-01      -3.675029124901e-01       5.529078203700e-03      -9.903404971288e-02       4.830586064855e-01       4.829491070275e-01 
       2.092543063052e-04      -4.224529669286e-01      -3.888498098976e-01      -3.886891145607e-01      -4.197884920358e-01       6.510865997957e-03      -1.168570046820e-01       4.828466752581e-01       4.827424546643e-01 
       2.265312047190e-04      -4.777445870354e-01      -4.556467071384e-01      -4.554268963109e-01      -4.741916999396e-01       7.611901807082e-03      -1.369328327402e-01       4.826098443085e-01       4.825113511995e-01 
       2.445299071744e-04      -5.347061828257e-01      -5.308451834012e-01      -5.305481007504e-01      -5.300410151182e-01       8.845316832141e-03      -1.595346384055e-01       4.823455787837e-01       4.822532652452e-01 
       2.633303423572e-04      -5.925193610282e-01      -6.155017556429e-01      -6.151042714743e-01      -5.864785283063e-01       1.022612540080e-02      -1.849803869202e-01       4.820510143373e-01       4.819653295136e-01 
       2.830198760744e-04      -6.501499010972e-01      -7.108464504658e-01      -7.103191302412e-01      -6.424280426714e-01       1.177145318758e-02      -2.136403629762e-01       4.817229383657e-01       4.816443196221e-01 
       3.036940748928e-04      -7.063162369114e-01      -8.183117155824e-01      -8.176171229467e-01      -6.965653499377e-01       1.350077631477e-02      -2.459459287048e-01       4.813577494097e-01       4.812866104941e-01 
       3.254574789195e-04      -7.594635367970e-01      -9.395661570748e-01      -9.386566905830e-01      -7.472957417053e-01       1.543616170432e-02      -2.823997606655e-01       4.809514361957e-01       4.808881518332e-01 
       3.484243568818e-04      -8.077513609963e-01      -1.076553672016e+00      -1.075368809878e+00      -7.927466745309e-01       1.760249815767e-02      -3.235877449765e-01       4.804995691157e-01       4.804444555199e-01 
       3.727194049494e-04      -8.490655988751e-01      -1.231538487154e+00      -1.230001287474e+00      -8.307870801957e-01       2.002768938465e-02      -3.701927036832e-01       4.799972879736e-01       4.799505788898e-01 
       3.984783361656e-04      -8.810686731023e-01      -1.407156486091e+00      -1.405169149101e+00      -8.590891052303e-01       2.274277761424e-02      -4.230100838282e-01       4.794393220387e-01       4.794011402932e-01 
       4.258482899582e-04      -9.013103488191e-01      -1.606472945459e+00      -1.603911220218e+00      -8.752522375555e-01       2.578194601640e-02      -4.829656780738e-01       4.788200364481e-01       4.787903615093e-01 
       4.549879715390e-04      -9.074174642061e-01      -1.833046401177e+00      -1.829752575677e+00      -8.770123388204e-01       2.918233360567e-02      -5.511353258343e-01       4.781335025303e-01       4.781121356286e-01 
