# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442757701e-10       7.309265058071e-15       4.815171147319e-13       2.388861098936e-19       8.628903619835e-09       4.854772059825e-10      -2.515854151461e-12 
    3       1.409375663760e-10       1.238839452004e-14       6.068719460973e-13       4.780044257934e-19       5.411291733145e-09       3.469573606896e-10      -2.211507030990e-12 
    4       1.324638935800e-10       1.446592354099e-14       6.277975858640e-13       7.971818794320e-19       3.776588565040e-09       2.639785174601e-10      -1.764116066986e-12 
    5       1.257528905526e-10       1.337973190850e-14       5.879550143860e-13       1.196705636391e-18       2.821984242387e-09       2.093815823481e-10      -1.309529286388e-12 
    6       1.208087563227e-10       1.032478440937e-14       5.173987897292e-13       1.676916086957e-18       2.205212291293e-09       1.709428888989e-10      -8.948468924731e-13 
    7       1.173342215427e-10       6.843838595091e-15       4.365330660129e-13       2.238195563513e-18       1.778233645496e-09       1.425663919772e-10      -5.443860557698e-13 
    8       1.150094177828e-10       4.045255171444e-15       3.576614996871e-13       2.880955838331e-18       1.468351552123e-09       1.208855455019e-10      -2.689334597155e-13 
    9       1.135899919276e-10       2.339962952026e-15       2.880577370497e-13       3.605624896101e-18       1.235838583561e-09       1.038809729356e-10      -7.009986713589e-14 
   10       1.128612984745e-10       1.576066392013e-15       2.317780349338e-13       4.412633502729e-18       1.056623423890e-09       9.029295923473e-11       5.745597617576e-14 
   11       1.126830724020e-10       1.351208675433e-15       1.905546768831e-13       5.302402097910e-18       8.886898906063e-10       7.950622630230e-11       1.233291889388e-13 
   12       1.129466827298e-10       1.294588312731e-15       1.640599037658e-13       6.275328523580e-18       7.765278531158e-10       7.028428724006e-11       1.421600850624e-13 
   13       1.135320780204e-10       1.208007400403e-15       1.505250304317e-13       7.331777064074e-18       6.844563360885e-10       6.274647751616e-11       1.277329342209e-13 
   14       1.143407873744e-10       1.063264028028e-15       1.473981485731e-13       8.472069218268e-18       6.078507053505e-10       5.620930566531e-11       9.279532854547e-14 
   15       1.153792111667e-10       9.202377743646e-16       1.516646917430e-13       9.696476551353e-18       5.433693979536e-10       5.074770250580e-11       4.959311407147e-14 
   16       1.166084602683e-10       8.404031742796e-16       1.602810275202e-13       1.100521588712e-17       4.885455333180e-10       4.611882987264e-11       7.232456318681e-15 
   17       1.179454940874e-10       8.411741240027e-16       1.707677998281e-13       1.239844700435e-17       4.415155600636e-10       4.212235784147e-11      -2.792920784460e-14 
   18       1.193943799396e-10       8.950457234317e-16       1.812583724113e-13       1.387627167107e-17       4.006946032089e-10       3.857272499953e-11      -5.233421618605e-14 
   19       1.209630494015e-10       9.693348471136e-16       1.907730506869e-13       1.543874255207e-17       3.654375327153e-10       3.544036712037e-11      -6.510245635674e-14 
   20       1.225956220186e-10       1.030562380942e-15       1.985685562021e-13       1.708585495409e-17       3.343837626019e-10       3.267209571158e-11      -6.706958946679e-14 
   21       1.243040154134e-10       1.081655447347e-15       2.047244288217e-13       1.881757204086e-17       3.070458399153e-10       3.022366954348e-11      -6.038518296413e-14 
   22       1.260879248099e-10       1.140726894241e-15       2.096934184378e-13       2.063381496997e-17       2.827706842464e-10       2.801369506005e-11      -4.840846217149e-14 
   23       1.279365612730e-10       1.227172458117e-15       2.139233690348e-13       2.253449286618e-17       2.612248154163e-10       2.601111848674e-11      -3.407761841817e-14 
   24       1.298178463143e-10       1.359591117149e-15       2.179345832337e-13       2.451949291179e-17       2.419102439076e-10       2.418236742493e-11      -2.047693857430e-14 
   25       1.317486460436e-10       1.538392512956e-15       2.222217805649e-13       2.658871529343e-17       2.246000770759e-10       2.253679492289e-11      -9.447604745140e-15 
   26       1.337412803632e-10       1.756560534889e-15       2.272302499467e-13       2.874206107613e-17       2.089813634268e-10       2.107676829912e-11      -2.331880243012e-15 
   27       1.357768979101e-10       2.007678386939e-15       2.329801785506e-13       3.097946282784e-17       1.948668566011e-10       1.976940151661e-11       6.620910681081e-16 
   28       1.378198706281e-10       2.285336749549e-15       2.392873901566e-13       3.330087687838e-17       1.820132731131e-10       1.856391200490e-11      -9.525412755297e-17 
   29       1.398799356485e-10       2.589051790035e-15       2.458479687637e-13       3.570631859923e-17       1.703550530190e-10       1.745581868214e-11      -3.801163375740e-15 
   30       1.419713367164e-10       2.920067201213e-15       2.522262581152e-13       3.819584268208e-17       1.597671058524e-10       1.644629617814e-11      -9.226628444545e-15 
   31       1.440979312081e-10       3.279007072939e-15       2.579084667565e-13       4.076954304839e-17       1.500335709671e-10       1.552719255564e-11      -1.492867204533e-14 
   32       1.462626032684e-10       3.663758717274e-15       2.625223729907e-13       4.342757641765e-17       1.411042598740e-10       1.468924338247e-11      -2.002927475617e-14 
   33       1.484586467869e-10       4.070695962348e-15       2.656891992117e-13       4.617015598293e-17       1.329161025376e-10       1.391501124595e-11      -2.370100986693e-14 
   34       1.506731822838e-10       4.496668881869e-15       2.670412797240e-13       4.899754516696e-17       1.253545997441e-10       1.318312041736e-11      -2.518539282473e-14 
   35       1.529128412040e-10       4.944269828437e-15       2.664970758289e-13       5.191003920343e-17       1.183811101351e-10       1.249407441549e-11      -2.459200250784e-14 
   36       1.551854124229e-10       5.418475922028e-15       2.640842839992e-13       5.490798501665e-17       1.119397490673e-10       1.185260200746e-11      -2.238998735357e-14 
   37       1.574932989943e-10       5.924454823474e-15       2.598749110500e-13       5.799176620671e-17       1.059467524552e-10       1.126051875257e-11      -1.915230803828e-14 
   38       1.598369676844e-10       6.464531437118e-15       2.540004483649e-13       6.116171944895e-17       1.003866721802e-10       1.071667294666e-11      -1.535845083586e-14 
   39       1.622114076312e-10       7.040265207749e-15       2.466473241907e-13       6.441819578289e-17       9.524189701601e-11       1.021643311839e-11      -1.154170476534e-14 
   40       1.646043177596e-10       7.653263631922e-15       2.380572329176e-13       6.776158607183e-17       9.046339005489e-11       9.751288893972e-12      -8.351232452003e-15 
   41       1.670017466780e-10       8.304886755273e-15       2.284586091060e-13       7.119228255379e-17       8.598778058539e-11       9.311564785224e-12      -6.389549092633e-15 
   42       1.694088894460e-10       8.995242770377e-15       2.178260267609e-13       7.471054269025e-17       8.180192174076e-11       8.896400423371e-12      -5.644098743886e-15 
   43       1.718348922976e-10       9.723866992483e-15       2.060482134348e-13       7.831658502215e-17       7.789473423908e-11       8.506475632336e-12      -5.882701544423e-15 
   44       1.742868487042e-10       1.048997094870e-14       1.929917157923e-13       8.201062577797e-17       7.423783403130e-11       8.141141976403e-12      -6.802855873552e-15 
   45       1.767694586362e-10       1.129272583052e-14       1.785110359964e-13       8.579284173332e-17       7.079567735123e-11       7.798866052219e-12      -8.072930482470e-15 
   46       1.792844961154e-10       1.213225977955e-14       1.624863013799e-13       8.966324657835e-17       6.756285933724e-11       7.478986469040e-12      -9.481077682260e-15 
   47       1.818307412595e-10       1.300892563553e-14       1.447942240626e-13       9.362177684607e-17       6.453562260160e-11       7.180287910000e-12      -1.082315051786e-14 
   48       1.844037905996e-10       1.392302193043e-14       1.252965427366e-13       9.766832292261e-17       6.170060686992e-11       6.900409315374e-12      -1.185901706910e-14 
   49       1.869957930115e-10       1.487479086615e-14       1.038391479978e-13       1.018027264967e-16       5.903413483014e-11       6.635761807048e-12      -1.231067299612e-14 
   50       1.895986641076e-10       1.586442717506e-14       8.029463893517e-14       1.060247745408e-16       5.650934501786e-11       6.382569134578e-12      -1.195044303579e-14 
