# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437885157e-10       7.309026172273e-15       4.815171198840e-13       0.000000000000e+00       8.628903622385e-09       4.854772107008e-10      -2.515854151210e-12 
    3       1.409365941184e-10       1.238791651558e-14       6.068719691835e-13       0.000000000000e+00       5.411291734010e-09       3.469573571418e-10      -2.211507030961e-12 
    4       1.324622771854e-10       1.446512635746e-14       6.277976520792e-13       0.000000000000e+00       3.776588587042e-09       2.639785093092e-10      -1.764116066839e-12 
    5       1.257504764865e-10       1.337853519722e-14       5.879551646408e-13       0.000000000000e+00       2.821984257393e-09       2.093815868733e-10      -1.309529286201e-12 
    6       1.208053901710e-10       1.032310747853e-14       5.173990840334e-13       0.000000000000e+00       2.205212294920e-09       1.709428994904e-10      -8.948468928372e-13 
    7       1.173297564527e-10       6.841600365653e-15       4.365335860051e-13       0.000000000000e+00       1.778233655209e-09       1.425663877618e-10      -5.443860565259e-13 
    8       1.150037061960e-10       4.042374146231e-15       3.576623509690e-13       0.000000000000e+00       1.468351565492e-09       1.208855337032e-10      -2.689334592938e-13 
    9       1.135829004177e-10       2.336357197434e-15       2.880590507168e-13       0.000000000000e+00       1.235838610699e-09       1.038809782984e-10      -7.009986499159e-14 
   10       1.128526861280e-10       1.571653533763e-15       2.317799678648e-13       0.000000000000e+00       1.056623456704e-09       9.029297389192e-11       5.745597737989e-14 
   11       1.126728134220e-10       1.345905907797e-15       1.905574134901e-13       0.000000000000e+00       8.886898956136e-10       7.950622246855e-11       1.233291864649e-13 
   12       1.129346447587e-10       1.288312421455e-15       1.640636549798e-13       0.000000000000e+00       7.765278577367e-10       7.028427198892e-11       1.421600809900e-13 
   13       1.135181519256e-10       1.200674797367e-15       1.505300358148e-13       0.000000000000e+00       6.844563403792e-10       6.274648086671e-11       1.277329338176e-13 
   14       1.143248477835e-10       1.054790799770e-15       1.474046700241e-13       0.000000000000e+00       6.078507093548e-10       5.620932280601e-11       9.279533314708e-14 
   15       1.153611531265e-10       9.105397353535e-16       1.516730194001e-13       0.000000000000e+00       5.433694017044e-10       5.074770085327e-11       4.959311852895e-14 
   16       1.165881664759e-10       8.293959335599e-16       1.602914695411e-13       0.000000000000e+00       4.885455368434e-10       4.611881170111e-11       7.232454869532e-15 
   17       1.179228754826e-10       8.287731575865e-16       1.707806922260e-13       0.000000000000e+00       4.415155633876e-10       4.212235791185e-11      -2.792921475991e-14 
   18       1.193693326173e-10       8.811664414643e-16       1.812740689543e-13       0.000000000000e+00       4.006946063439e-10       3.857273372529e-11      -5.233422114404e-14 
   19       1.209354697483e-10       9.538926679454e-16       1.907919241753e-13       0.000000000000e+00       3.654375356974e-10       3.544036927115e-11      -6.510245453452e-14 
   20       1.225654173617e-10       1.013472814930e-15       1.985909988287e-13       0.000000000000e+00       3.343837654409e-10       3.267209119028e-11      -6.706958266378e-14 
   21       1.242710963663e-10       1.062834165882e-15       2.047508489091e-13       0.000000000000e+00       3.070458426203e-10       3.022366475788e-11      -6.038517696071e-14 
   22       1.260522022439e-10       1.120089802308e-15       2.097242387439e-13       0.000000000000e+00       2.827706868320e-10       2.801369804425e-11      -4.840846412332e-14 
   23       1.278979464995e-10       1.204635720885e-15       2.139590293981e-13       0.000000000000e+00       2.612248178962e-10       2.601112657259e-11      -3.407762673979e-14 
   24       1.297762511726e-10       1.335071219095e-15       2.179755410278e-13       0.000000000000e+00       2.419102462913e-10       2.418236628281e-11      -2.047694175170e-14 
   25       1.317039849670e-10       1.511806332516e-15       2.222685100482e-13       0.000000000000e+00       2.246000793726e-10       2.253678390515e-11      -9.447600294260e-15 
   26       1.336934713660e-10       1.727825396573e-15       2.272832411681e-13       0.000000000000e+00       2.089813656453e-10       2.107676569902e-11      -2.331878760790e-15 
   27       1.357258635059e-10       1.976712021119e-15       2.330399344637e-13       0.000000000000e+00       1.948668587463e-10       1.976941659417e-11       6.620856388696e-16 
   28       1.377655368517e-10       2.252057302881e-15       2.393544257567e-13       0.000000000000e+00       1.820132751843e-10       1.856393684986e-11      -9.525875264136e-17 
   29       1.398222248660e-10       2.553377850883e-15       2.459228145402e-13       0.000000000000e+00       1.703550550163e-10       1.745584263137e-11      -3.801161295613e-15 
   30       1.419101638520e-10       2.881917827569e-15       2.523094612394e-13       0.000000000000e+00       1.597671077779e-10       1.644631075501e-11      -9.226620982608e-15 
   31       1.440332050774e-10       3.238301804212e-15       2.580005906268e-13       0.000000000000e+00       1.500335728251e-10       1.552719258717e-11      -1.492866723932e-14 
   32       1.461942410753e-10       3.620417527142e-15       2.626239942443e-13       0.000000000000e+00       1.411042616687e-10       1.468922841586e-11      -2.002927761755e-14 
   33       1.483865806811e-10       4.024639243693e-15       2.658009063059e-13       0.000000000000e+00       1.329161042723e-10       1.391498694744e-11      -2.370101828809e-14 
   34       1.505973583833e-10       4.447817448062e-15       2.671636709389e-13       0.000000000000e+00       1.253546014212e-10       1.318309784489e-11      -2.518539830159e-14 
   35       1.528332033526e-10       4.892544929779e-15       2.666307530836e-13       0.000000000000e+00       1.183811117569e-10       1.249406182531e-11      -2.459199978015e-14 
   36       1.551018957621e-10       5.363799247490e-15       2.642298491947e-13       0.000000000000e+00       1.119397506361e-10       1.185260141579e-11      -2.238997833902e-14 
   37       1.574058303815e-10       5.866748511448e-15       2.600329620546e-13       0.000000000000e+00       1.059467539735e-10       1.126052603937e-11      -1.915230132305e-14 
   38       1.597454764047e-10       6.403718140130e-15       2.541715704846e-13       0.000000000000e+00       1.003866736508e-10       1.071668375022e-11      -1.535845357110e-14 
   39       1.621158292042e-10       6.976268117905e-15       2.468320842964e-13       0.000000000000e+00       9.524189844200e-11       1.021644482238e-11      -1.154171963974e-14 
   40       1.645045950940e-10       7.586006490140e-15       2.382561744563e-13       0.000000000000e+00       9.046339143956e-11       9.751301105277e-12      -8.351256607308e-15 
