# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf            
       9.999999990000e+08       7.558491870295e-16       4.634888282453e-04       2.157549304051e+12       1.434210579295e+04       1.434210579295e-05       1.434210579295e+13       2.675954000706e-04       2.751560535470e+24       2.247283455470e+18       1.335180067264e+19       6.331470950076e+23       1.270295769850e+24       4.655018999411e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       0.000000000000e+00       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.930486583438e+08       7.664681122582e-16       4.667332505051e-04       2.127657863851e+12       1.434210578970e+04       1.444250053082e-05       1.424240892663e+13       2.694685672954e-04       2.675846457662e+24       2.200743575940e+18       1.307529296584e+19       6.157249275513e+23       1.235341324357e+24       4.526927985607e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       1.770633326963e-32       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.861456388243e+08       7.772362226421e-16       4.700003828475e-04       2.098180550255e+12       1.434210578644e+04       1.454359803182e-05       1.414340508719e+13       2.713548466647e-04       2.602215787250e+24       2.155167509131e+18       1.280451156619e+19       5.987821619920e+23       1.201348712546e+24       4.402361621468e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.554179831381e-32       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.792906045447e+08       7.881556140806e-16       4.732903853437e-04       2.069111625805e+12       1.434210578315e+04       1.464540321529e-05       1.404508945716e+13       2.732543299630e-04       2.530611195578e+24       2.110535295065e+18       1.253933788535e+19       5.823056067346e+23       1.168291467855e+24       4.281222920041e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       5.351252453540e-32       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.724832219433e+08       7.992284119187e-16       4.766034180648e-04       2.040445432532e+12       1.434210577983e+04       1.474792103500e-05       1.394745725257e+13       2.751671096176e-04       2.460976931488e+24       2.066827387124e+18       1.227965579085e+19       5.662824331743e+23       1.136143851995e+24       4.163417563140e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       7.162472387210e-32       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.657231597771e+08       8.104567713601e-16       4.799396429007e-04       2.012176390854e+12       1.434210577650e+04       1.485115647941e-05       1.385050372268e+13       2.770932787026e-04       2.393258777915e+24       2.024024643488e+18       1.202535155527e+19       5.507001657079e+23       1.104880834912e+24       4.048853827912e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       8.988469319421e-32       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.590100891056e+08       8.218428778870e-16       4.832992199226e-04       1.984298998492e+12       1.434210577314e+04       1.495511457190e-05       1.375422414980e+13       2.790329309436e-04       2.327404009675e+24       1.982108318752e+18       1.177631380641e+19       5.355466720209e+23       1.074478075299e+24       3.937442515418e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       1.082988167440e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.523436832749e+08       8.333889476851e-16       4.866823146585e-04       1.956807829396e+12       1.434210576975e+04       1.505980037099e-05       1.365861384903e+13       2.809861607222e-04       2.263361352408e+24       1.941060055717e+18       1.153243347851e+19       5.208101536407e+23       1.044911901644e+24       3.829096881186e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       1.268735686179e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.457236179019e+08       8.450972280757e-16       4.900890889985e-04       1.929697532691e+12       1.434210576635e+04       1.516521897063e-05       1.356366816802e+13       2.829530630810e-04       2.201080942661e+24       1.900861877352e+18       1.129360376452e+19       5.064791367509e+23       1.016159293796e+24       3.723732567674e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       1.456155152921e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.391495708581e+08       8.569699979522e-16       4.935197139275e-04       1.902962831635e+12       1.434210576292e+04       1.527137550043e-05       1.346938248679e+13       2.849337337274e-04       2.140514289062e+24       1.861496178917e+18       1.105972006927e+19       4.925424632573e+23       9.881978650468e+23       3.621267538582e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       1.645313181931e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.326212222546e+08       8.690095682245e-16       4.969743513357e-04       1.876598522591e+12       1.434210575946e+04       1.537827512590e-05       1.337575221744e+13       2.869282690392e-04       2.081614234565e+24       1.822945720258e+18       1.083067996371e+19       4.789892821007e+23       9.610058446979e+23       3.521622014989e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       1.836277363142e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.261382544258e+08       8.812182822682e-16       5.004531703889e-04       1.850599474016e+12       1.434210575598e+04       1.548592304870e-05       1.328277280398e+13       2.889367660686e-04       2.024334919734e+24       1.785193618253e+18       1.060638314004e+19       4.658090408079e+23       9.345620611098e+23       3.424718413229e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.029116288786e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.197003519146e+08       8.935985163808e-16       5.039563420723e-04       1.824960625462e+12       1.434210575248e+04       1.559432450692e-05       1.319043972209e+13       2.909593225472e-04       1.968631747038e+24       1.748223339418e+18       1.038673136776e+19       4.529914772759e+23       9.088459252184e+23       3.330481284487e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.223899580505e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.133072014567e+08       9.061526802446e-16       5.074840355519e-04       1.799676986589e+12       1.434210574895e+04       1.570348477530e-05       1.309874847891e+13       2.929960368907e-04       1.914461346124e+24       1.712018692669e+18       1.017162845066e+19       4.405266117816e+23       8.838374145043e+23       3.238837256057e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.420697916959e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.069584919652e+08       9.188832173953e-16       5.110364236316e-04       1.774743636194e+12       1.434210574540e+04       1.581340916552e-05       1.300769461279e+13       2.950470082037e-04       1.861781540053e+24       1.676563822230e+18       9.960980184715e+18       4.284047392118e+23       8.595170574032e+23       3.149714974212e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.619583061928e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       9.006539145158e+08       9.317926056978e-16       5.146136791154e-04       1.750155721257e+12       1.434210574182e+04       1.592410302642e-05       1.291727369311e+13       2.971123362846e-04       1.810551312460e+24       1.641843200686e+18       9.754694316795e+18       4.166164215067e+23       8.358659181457e+23       3.063045048650e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.820627892937e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       8.943931623317e+08       9.448833578285e-16       5.182159729884e-04       1.725908455992e+12       1.434210573822e+04       1.603557174430e-05       1.282748132004e+13       2.991921216304e-04       1.760730775617e+24       1.607841622189e+18       9.552680504277e+18       4.051524803113e+23       8.128655820136e+23       2.978759998464e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.023906430400e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       8.881759307686e+08       9.581580217641e-16       5.218434853305e-04       1.701997120915e+12       1.434210573459e+04       1.614782074317e-05       1.273831312434e+13       3.012864654414e-04       1.712281139378e+24       1.574544195792e+18       9.354850275481e+18       3.940039898298e+23       7.904981410024e+23       2.896794199604e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.229493867312e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       8.820019172997e+08       9.716191812782e-16       5.254963889456e-04       1.678417061931e+12       1.434210573094e+04       1.626085548497e-05       1.264976476715e+13       3.033954696264e-04       1.665164680976e+24       1.541936338932e+18       9.161116990923e+18       3.831622698750e+23       7.687461798783e+23       2.817083833782e+24       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.437466599484e-31       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
