# Matter power spectrum P(k) at redshift z=0
# for k=1.07795e-05 to 1.71025 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.077954595941e-05       4.810358791432e+01 
       1.357064433591e-05       6.002976985741e+01 
       1.708442900890e-05       7.491269479690e+01 
       2.150802182529e-05       9.348532119325e+01 
       2.707699523328e-05       1.166622271120e+02 
       3.408791737421e-05       1.455845377796e+02 
       4.291414541753e-05       1.816758976345e+02 
       5.402570819156e-05       2.267121197057e+02 
       6.801433693254e-05       2.829077303915e+02 
       8.562497713070e-05       3.530232151921e+02 
       1.077954595941e-04       4.404973973223e+02 
       1.357064433591e-04       5.496097327211e+02 
       1.708442900890e-04       6.856773076831e+02 
       2.150802182529e-04       8.552899702244e+02 
       2.707699523328e-04       1.066583596705e+03 
       3.408791737421e-04       1.329544084903e+03 
       4.291414541753e-04       1.656321106616e+03 
       5.402570819156e-04       2.061509091629e+03 
       6.801433693254e-04       2.562320688342e+03 
       8.562497713070e-04       3.178524167985e+03 
       1.077954595941e-03       3.931903596817e+03 
       1.357064433591e-03       4.844809008512e+03 
       1.708442900890e-03       5.937213452414e+03 
       2.150802182529e-03       7.222346435087e+03 
       2.707699523328e-03       8.700866727525e+03 
       3.408791737421e-03       1.035591922947e+04 
       4.291414541753e-03       1.215333284678e+04 
       5.402570819156e-03       1.404757758181e+04 
       6.801433693254e-03       1.598308420464e+04 
       8.562497713070e-03       1.786979610770e+04 
       1.077954595941e-02       1.954411631858e+04 
       1.357064433591e-02       2.075453101393e+04 
       1.708442900887e-02       2.118700870900e+04 
       2.150802166326e-02       2.053156337540e+04 
       2.707687010334e-02       1.864445818764e+04 
       3.407039401307e-02       1.579801173829e+04 
       4.232482454813e-02       1.293572104337e+04 
       4.931051536032e-02       1.126634885914e+04 
       5.437209127007e-02       1.042784782606e+04 
       5.854182660990e-02       9.892815846127e+03 
       6.226279382215e-02       9.481656828037e+03 
       6.573213344038e-02       9.119694524955e+03 
       6.905403272276e-02       8.769820389958e+03 
       7.229089593356e-02       8.412521532154e+03 
       7.548368099419e-02       8.038683681404e+03 
       7.866123507403e-02       7.646270456807e+03 
       8.184506889031e-02       7.238467470777e+03 
       8.505200773728e-02       6.822311939126e+03 
       8.829576141827e-02       6.407191138825e+03 
       9.158790314092e-02       6.003789406911e+03 
       9.493850606737e-02       5.622587538412e+03 
       9.835657181790e-02       5.272826959883e+03 
       1.018503272950e-01       4.961393599364e+03 
       1.054274351884e-01       4.692099853165e+03 
       1.090951461354e-01       4.465246753144e+03 
       1.128604103616e-01       4.277515060068e+03 
       1.167299605056e-01       4.122006887964e+03 
       1.207103735247e-01       3.988923840704e+03 
       1.248081171562e-01       3.866374497635e+03 
       1.290295848410e-01       3.741926199490e+03 
       1.333811219806e-01       3.604688992004e+03 
       1.378690457143e-01       3.447277038549e+03 
       1.424996599446e-01       3.267898016199e+03 
       1.472792670355e-01       3.070654744766e+03 
       1.522141774106e-01       2.865220212763e+03 
       1.573107181449e-01       2.664124355668e+03 
       1.625752415626e-01       2.479886038609e+03 
       1.680141348042e-01       2.321819851965e+03 
       1.736338312895e-01       2.193661788062e+03 
       1.794408249857e-01       2.092641605139e+03 
       1.854416883751e-01       2.010074699621e+03 
       1.916430950077e-01       1.933964260142e+03 
       1.980518475208e-01       1.852582503414e+03 
       2.046749120077e-01       1.757322073771e+03 
       2.115194596351e-01       1.648046169185e+03 
       2.185929164394e-01       1.532481566893e+03 
       2.259030222932e-01       1.421967851769e+03 
       2.334579001339e-01       1.325721241728e+03 
       2.412661366963e-01       1.247452738426e+03 
       2.493368762185e-01       1.184470572436e+03 
       2.576799289005e-01       1.128762870634e+03 
       2.663058963293e-01       1.071166419912e+03 
       2.752263166650e-01       1.006997900555e+03 
       2.844538331588e-01       9.383247697273e+02 
       2.940023905995e-01       8.718390336239e+02 
       3.038874656452e-01       8.140110773008e+02 
       3.141263387922e-01       7.659625948479e+02 
       3.247384181322e-01       7.233377084689e+02 
       3.357456282621e-01       6.807530302089e+02 
       3.471728820715e-01       6.358981701408e+02 
       3.590486591169e-01       5.913032501812e+02 
       3.714057226082e-01       5.507966182564e+02 
       3.842820187692e-01       5.153782584349e+02 
       3.977218191444e-01       4.825103765406e+02 
       4.117771909414e-01       4.496457865804e+02 
       4.265099168884e-01       4.172395058674e+02 
       4.419940412381e-01       3.871196454036e+02 
       4.583193039763e-01       3.595207788225e+02 
       4.755958608930e-01       3.331959089738e+02 
       4.939609083303e-01       3.073926437879e+02 
       5.135882031438e-01       2.828980447522e+02 
       5.347021147769e-01       2.599352628749e+02 
       5.575990140254e-01       2.376199869243e+02 
       5.826810058762e-01       2.161013641682e+02 
       6.105113791072e-01       1.954231275058e+02 
       6.419102937621e-01       1.751727185394e+02 
       6.781296472822e-01       1.553417274935e+02 
       7.211948836368e-01       1.355953174489e+02 
       7.746264092518e-01       1.156733816397e+02 
       8.450851352116e-01       9.515275216557e+01 
       9.462615425463e-01       7.362900622905e+01 
       1.106133313676e+00       5.143469686171e+01 
       1.360832132578e+00       3.169559838051e+01 
       1.710249323549e+00       1.840651899257e+01 
