#scalar perturbations for mode k = 1.105063066833e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:delta_scf             22:theta_scf          
       6.406998975151e+00       1.398347775496e-05      -1.655464574718e-03      -1.072661123588e-07       3.983587719904e-08       9.958969299760e-08       1.054067021128e-13       1.991793859952e-08      -1.241598431039e-03      -1.072661123588e-07       6.012234588402e-01       6.971287503080e-01      -1.655464574671e-03      -1.604833361719e-07       2.003929166260e-04      -1.241598431109e-03      -4.967233106160e-49      -1.657170496726e-03      -1.606488555940e-07       2.005992377421e-04      -5.352866896143e-28                     -inf 
       6.406999634302e+00       1.398347921005e-05      -1.655464913638e-03      -1.072661452977e-07       3.983588957001e-08       9.958972392503e-08       1.054067567834e-13       1.991794478501e-08      -1.241598685228e-03      -1.072661452975e-07       6.012234588260e-01       6.971287500198e-01      -1.655464913544e-03      -1.604833856156e-07       2.003929577521e-04      -1.241598685370e-03      -2.141988495984e-48      -1.657170835948e-03      -1.606489050885e-07       2.005992789105e-04      -1.070573324188e-27                     -inf 
       6.407000293452e+00       1.398348066513e-05      -1.655465252558e-03      -1.072661782366e-07       3.983590194099e-08       9.958975485247e-08       1.054068114541e-13       1.991795097049e-08      -1.241598939418e-03      -1.072661782363e-07       6.012234588119e-01       6.971287497316e-01      -1.655465252417e-03      -1.604834350592e-07       2.003929988782e-04      -1.241598939630e-03      -5.623934116894e-48      -1.657171175170e-03      -1.606489545831e-07       2.005993200789e-04      -1.605859900257e-27                     -inf 
       6.407006884962e+00       1.398349521601e-05      -1.655468641759e-03      -1.072665076258e-07       3.983602565079e-08       9.959006412696e-08       1.054073581618e-13       1.991801282539e-08      -1.241601481319e-03      -1.072665076247e-07       6.012234586712e-01       6.971287468503e-01      -1.655468641151e-03      -1.604839294968e-07       2.003934101400e-04      -1.241601482238e-03      -7.149270742308e-46      -1.657174567394e-03      -1.606494495297e-07       2.005997317635e-04      -6.958717195270e-27                     -inf 
       6.407013476471e+00       1.398350976688e-05      -1.655472030963e-03      -1.072668370157e-07       3.983614936085e-08       9.959037340212e-08       1.054079048717e-13       1.991807468042e-08      -1.241604023222e-03      -1.072668370138e-07       6.012234585304e-01       6.971287439690e-01      -1.655472029888e-03      -1.604844239355e-07       2.003938214021e-04      -1.241604024849e-03      -2.776849453254e-45      -1.657177959622e-03      -1.606499444772e-07       2.006001434486e-04      -1.231156894540e-26                     -inf 
       6.407020067981e+00       1.398352431775e-05      -1.655475420171e-03      -1.072671664063e-07       3.983627307117e-08       9.959068267791e-08       1.054084515839e-13       1.991813653558e-08      -1.241606565128e-03      -1.072671664035e-07       6.012234583896e-01       6.971287410877e-01      -1.655475418628e-03      -1.604849183751e-07       2.003942326647e-04      -1.241606567462e-03      -6.883867079508e-45      -1.657181351852e-03      -1.606504394257e-07       2.006005551340e-04      -1.766441483873e-26                     -inf 
       6.407056689672e+00       1.398360516079e-05      -1.655494250291e-03      -1.072689964752e-07       3.983696039690e-08       9.959240099224e-08       1.054114890983e-13       1.991848019845e-08      -1.241620687719e-03      -1.072689964677e-07       6.012234576053e-01       6.971287250770e-01      -1.655494246149e-03      -1.604876654438e-07       2.003965176008e-04      -1.241620693980e-03      -1.070882370474e-43      -1.657200198767e-03      -1.606531893220e-07       2.006028424197e-04      -4.740413925090e-26                     -inf 
       6.407093311362e+00       1.398368600384e-05      -1.655513080516e-03      -1.072708265644e-07       3.983764773073e-08       9.959411932683e-08       1.054145266835e-13       1.991882386537e-08      -1.241634810387e-03      -1.072708265521e-07       6.012234568199e-01       6.971287090652e-01      -1.655513073775e-03      -1.604904125432e-07       2.003988025498e-04      -1.241634820577e-03      -4.033143936631e-43      -1.657219045787e-03      -1.606559392491e-07       2.006051297181e-04      -7.714369009621e-26                     -inf 
       6.407129933053e+00       1.398376684690e-05      -1.655531910846e-03      -1.072726566741e-07       3.983833507256e-08       9.959583768141e-08       1.054175643390e-13       1.991916753628e-08      -1.241648933135e-03      -1.072726566572e-07       6.012234560342e-01       6.971286930530e-01      -1.655531901507e-03      -1.604931596738e-07       2.004010875116e-04      -1.241648947253e-03      -1.009334745984e-42      -1.657237892912e-03      -1.606586892072e-07       2.006074170294e-04      -1.068830610521e-25                     -inf 
       6.407166554744e+00       1.398384768997e-05      -1.655550741282e-03      -1.072744868046e-07       3.983902242234e-08       9.959755605586e-08       1.054206020648e-13       1.991951121117e-08      -1.241663055962e-03      -1.072744867829e-07       6.012234552485e-01       6.971286770409e-01      -1.655550729344e-03      -1.604959068356e-07       2.004033724864e-04      -1.241663074009e-03      -2.044479820352e-42      -1.657256740143e-03      -1.606614391967e-07       2.006097043538e-04      -1.366222498960e-25                     -inf 
       6.407289464800e+00       1.398411901630e-05      -1.655613940942e-03      -1.072806292566e-07       3.984132937007e-08       9.960332342518e-08       1.054307978221e-13       1.992066468504e-08      -1.241710455706e-03      -1.072806292190e-07       6.012234526117e-01       6.971286233012e-01      -1.655613920282e-03      -1.605051271139e-07       2.004110414350e-04      -1.241710486939e-03      -1.086655794545e-41      -1.657319996168e-03      -1.606706689653e-07       2.006173811878e-04      -2.364318541791e-25                     -inf 
       6.407412374855e+00       1.398439034275e-05      -1.655677141797e-03      -1.072867719417e-07       3.984363640730e-08       9.960909101824e-08       1.054409943711e-13       1.992181820365e-08      -1.241757856348e-03      -1.072867718883e-07       6.012234499752e-01       6.971285695620e-01      -1.655677112414e-03      -1.605143477444e-07       2.004187105300e-04      -1.241757900766e-03      -3.051253342704e-41      -1.657383253390e-03      -1.606798990864e-07       2.006250581682e-04      -3.362394027537e-25                     -inf 
       6.407535284911e+00       1.398466166932e-05      -1.655740343848e-03      -1.072929148600e-07       3.984594353402e-08       9.961485883505e-08       1.054511917119e-13       1.992297176701e-08      -1.241805257886e-03      -1.072929147907e-07       6.012234473390e-01       6.971285158235e-01      -1.655740305742e-03      -1.605235687272e-07       2.004263797714e-04      -1.241805315492e-03      -6.536503897741e-41      -1.657446511807e-03      -1.606891295600e-07       2.006327352951e-04      -4.360448957313e-25                     -inf 
       6.407658194967e+00       1.398493299600e-05      -1.655803547094e-03      -1.072990580114e-07       3.984825075024e-08       9.962062687560e-08       1.054613898446e-13       1.992412537512e-08      -1.241852660321e-03      -1.072990579262e-07       6.012234447031e-01       6.971284620856e-01      -1.655803500264e-03      -1.605327900622e-07       2.004340491592e-04      -1.241852731114e-03      -1.199517733848e-40      -1.657509771419e-03      -1.606983603861e-07       2.006404125683e-04      -5.358483334222e-25                     -inf 
       6.408281188351e+00       1.398630826959e-05      -1.656123923362e-03      -1.073301993483e-07       3.985994669833e-08       9.964986674583e-08       1.055130932332e-13       1.992997334917e-08      -1.242092942521e-03      -1.073301991827e-07       6.012234313476e-01       6.971281897135e-01      -1.656123832306e-03      -1.605795355996e-07       2.004729251856e-04      -1.242093080171e-03      -9.493576491903e-40      -1.657830433383e-03      -1.607451540352e-07       2.006793285645e-04      -1.041689758472e-24                     -inf 
       6.408904181736e+00       1.398768354620e-05      -1.656444330349e-03      -1.073613466758e-07       3.987164494602e-08       9.967911236505e-08       1.055648169735e-13       1.993582247301e-08      -1.242333247762e-03      -1.073613464297e-07       6.012234180003e-01       6.971279173567e-01      -1.656444195055e-03      -1.606262901876e-07       2.005118049731e-04      -1.242333452287e-03      -3.010912360214e-39      -1.658151126060e-03      -1.607919567417e-07       2.007182483225e-04      -1.547478426279e-24                     -inf 
